CODIGO,NOMBRE PRODUCTO,DESCRIPCION,OBSERVACIONES,CATEGORIA,SUBCATEGORIA,COLOR,UNIDAD DE VENTA
KPLXRE-300-13T,,KIT DE PINONES P/XRE-300,"MUESTRAS ENVIADAS POR FABRICA, EN TEORIA LLEGAN SEMANA#3 DE MARZO 2025.",,,-,PIEZA
FAR-01,,FAROL LATERAL 4LED AMBAR,,,,-,PIEZA
CCC-XR250,,CENTRO CLUTCH XR250,,,,-,PIEZA
BUJ-XRE300,,BUJIA P/ XRE300,,,,-,PIEZA
DFT-XRE300,,DISCO DE FRENOS XRE300 TRASERO ROTOR 253MM,,,,-,PIEZA
DFD-XRE300,,DISCO DE FRENOS XRE300 DELANTERO 220MM,,,,-,PIEZA
ESV-XRE300,,EMPAQUE/ SELLO DE VALVULA XRE300,,,,-,PIEZA
NEU-18,,NEUMATICO 18,,,,-,PIEZA
NEU-21,,NEUMATICO 21,,,,-,PIEZA
PUN-XR-XL,,PUNOS NEGROS XR-XL,,,,-,PIEZA
CAD-XR250,,"CADENA DE DISTRIBUCION XR250, XRE300 3*4-126L",,,,-,PIEZA
SDF-01,,SET DE FIBRAS PLATO CLUTCH 6 PIEZAS,,,,-,PIEZA
ESR-01,,ESPEJO LATERAL REDONDO (2PZS),,,,-,SET
INDOOR EA500H9 RENTAL CABINET,,"PANEL DIGITAL LED P2.6, SMD1515 1/32 DUTY, 500X500X85MM (1PZA) TAMANO: 0.5X0.5M, MARCA: EAGER",,,,-,PZA
OUTDOOR EA960F3 LED CABINET,,"PANEL DIGITAL LED P10, SMD2727 1/2 DUTY, 960X960X101MM (1PZA) TAMANO: 0.96X0.96M, MARCA: EAGER/ 0.922M2",,,,-,PZA
OUTDOOR EA320F LED CABINET,,"PANEL DIGITAL LED P10, DIP346, 1/4 DUTY, 960X960X150MM (1PZA) TAMANO: 0.96X0.96M, MARCA: EAGER/ 0.922M2",,,,-,PZA
DOM-02,,"DOMO TOLDO/ DIAMETRO: 36MTS/ ALTURA TECHO: 18MTS/ METROS CUADRADOS: 1017M2/ ESTRUCTURA PRINCIPAL: BASE TUBOS DE ACERO EN CALIENTE DE 60X3mm CON ACABADO PULIDO EN COLOR BLANCO (INCLUYE TODOS LOS PERNOS Y TUERCAS NECESARIAS)./ CUBIERTA: POLIESTER RECUBIERTO DE PVC DOBLE DE ALTA RESISTENCIA ZONA SUPERIOR: 850 GRAMOS POR METRO CUADRADO (GSM), EN COLOR BLANCO, 750 GRAMOS POR METRO CUADRADO EN LATERALES Y 950 GRAMOS POR METRO CUADRADO (GSM) PARA VENTANAS TRANSPARENTES (TEJIDO RECUBIERTO DE PVC DOBLE), 100% IMPERMEABLE, RESISTENTE A RAYOS UV, RETARDANTE DE FUEGO Y LLAMAS/ FUNCION AUTO LIMPIADO/ PRUEBA DE ANTI FUEGO: NIVEL B1 (ESTANDAR INTERNACIONAL M2), THERMICO/ RESISTENCIA DE COLGADO: +-60KGS VIDA UTIL: 10-15 ANOS/ 16 VENTANAS CUADRADAS/ 4 OREJAS DE GATO (DISENO VENTILACION)/ (INCLUYE TODOS LOS ACCESORIOS Y PIEZAS COMPLETAS).",,,,-,SET
AIS-01,,"RECUBRIMIENDO AISLANTE DE ESPUMA (12MM ALGODON), INSONORIZADO/ AISLAMIENTO COLOCADO SOBRE EL MARCO-ESTRUCTURA.",,,,-,PIEZA
PUE-02,,PUERTA DE DOBLE VIDRIO TEMPERADO,,,,-,PIEZA
